State,Nitrogen Oxide,Sulfur Dioxide,Carbon Dioxide,Methane,Nitrous Oxide
AK,11728.39,2384.25,3766232.7,170189.7,46156.7
AL,49346.43,137191.46,76372600.9,2944703.1,2041775.6
AR,37359.33,82001.39,40020363.7,1562067.5,1244521.8
AZ,49017.27,21055.1,58602854.8,1724213.4,1588514.7
CA,18268.77,17622.66,57165609.7,6596594.8,894245.8
CO,51081.16,41588.09,43843974.1,1063915.8,1320662.8
CT,4385.74,19617.59,9332621.5,2009867.9,264162.7
DC,45.36,23.1,44221.2,2367.3,350.4
DE,2412.33,3279.3,5424329.7,184373.8,78240.4
FL,72573.66,142273.76,125651562,8748624,2690783.8
GA,38558.19,115772.35,65893467.8,2403508.2,1804357.7
HI,15333.42,25283.44,7699913.5,880985.7,199607.3
IA,36946.08,96060.26,39703157.9,914611.3,1301654.2
ID,649.87,776.63,885058.9,143366.7,26625.3
IL,58676.99,167044.47,98493066,2284823,3096563.1
IN,106788.3,280009.33,109335741.6,2645075.2,3476021.9
KS,34307.96,32927.81,35312851.8,820114.2,1113954.1
KY,80461.03,186531.72,93278019.4,2171107.4,3115383.1
LA,57596.35,94601.58,59664031.3,2404235.3,1163119.6
MA,11083.45,27474.68,16287831.5,2872403.6,450408.3
MD,17762.97,33960.21,22269423.2,1276615.9,719514.9
ME,4536.44,9937.79,4056809.3,1951507.9,277885.7
MI,71122.96,204752.48,71154710.4,3027319.3,2247953.6
MN,30490.58,29425.86,30282137.1,2382107.5,1112529.7
MO,72777.44,148577.63,79170368.7,1817465,2562970
MS,20935.08,39046.53,26741087,1190006.1,445222.4
MT,18086.67,25992.63,17863470.4,400813.4,583315.9
NC,48807.76,60973.29,61760659.6,2669867.9,1970798
ND,48794.93,86794.8,33454500.2,719669.8,1074306
NE,28440.45,63840.56,28008190.7,628880,918519.8
NH,3598.88,3324.05,4920946.3,1441319.2,235472.1
NJ,6494.48,12195.68,16860463.9,1436774.7,287520.8
NM,60305.34,16564.06,32310828.2,800732.6,952779.6
NV,9756.65,4876.18,16119342.4,551201.7,201328.5
NY,23118.18,34220.3,38169117.1,3324160.7,561770
OH,87353.25,348748.84,104821036.4,2645130.3,3182766.7
OK,68415.01,78711.17,53328418.3,1589071.8,1225751.6
OR,4522.92,14399.06,7896254.3,665314.4,186427.9
PA,133396.37,279451.59,118496909.6,5293017.5,3486416.1
RI,762.17,35.62,3768286.1,148274.5,14973
SC,21243.79,54472.96,37176847.9,1684240,1197347.9
SD,10849.69,12403.15,3358271.8,77327,107308.6
TN,23869.57,69210.21,42463377.1,1126716.7,1342973.9
TX,150149.67,410195.38,258352875.5,7671865.4,5623891.9
UT,51961.45,23116.61,35475233.4,871733.2,1103711.6
VA,24925.47,41121.56,28892649.6,2438306.3,811218.6
VT,196.71,60.1,13780.1,341084.3,45542
WA,6848.53,6357.58,7342211.5,892265.5,280845.7
WI,27372.34,71901.9,43242292.9,1807488,1401191.1
WV,50578.41,88849.23,72352646.6,1622530.6,2427499.4
WY,49592.64,50386.32,52023827.5,1159613.9,1719605.7
U.S.,1913686.86,3817422.3,2298924483,96199568.7,64226468.3